workload,size_label,size_mb,run,op,bw_MB_s,iops,p99_ms,lat_mean_ms,implementation
seq,100M,100.0,1,read,291.003168,2220.177982,0.63488,0.443339550667,Baseline (VM)
seq,100M,100.0,2,read,287.359731,2192.380762,0.626688,0.448283127109,Baseline (VM)
seq,100M,100.0,3,read,290.308556,2214.878512,0.626688,0.443714758702,Baseline (VM)
seq,500M,500.0,1,read,287.766013,2195.480452,0.708608,0.445939913422,Baseline (VM)
seq,500M,500.0,2,read,317.162523,2419.758024,0.626688,0.407268995826,Baseline (VM)
seq,500M,500.0,3,read,316.612076,2415.558444,0.651264,0.407555920813,Baseline (VM)
seq,1G,1024.0,1,read,290.570674,2216.878312,0.618496,0.43893927094,Baseline (VM)
seq,1G,1024.0,2,read,288.578578,2201.679832,0.626688,0.446198174168,Baseline (VM)
seq,1G,1024.0,3,read,290.767262,2218.378162,0.626688,0.44322490165,Baseline (VM)
rand,100M,100.0,1,read,184.465393,1407.359264,0.897024,0.699879679005,Baseline (VM)
rand,100M,100.0,2,read,184.701299,1409.159084,0.897024,0.6981937613,Baseline (VM)
rand,100M,100.0,3,read,189.733961,1447.555244,0.888832,0.680708158527,Baseline (VM)
rand,500M,500.0,1,read,178.305625,1360.363964,0.929792,0.723631526571,Baseline (VM)
rand,500M,500.0,2,read,191.149397,1458.354165,0.9216,0.675333764004,Baseline (VM)
rand,500M,500.0,3,read,180.376355,1376.162384,0.929792,0.715439939984,Baseline (VM)
rand,1G,1024.0,1,read,181.451038,1384.361564,0.929792,0.7113688026,Baseline (VM)
rand,1G,1024.0,2,read,176.182471,1344.165583,0.929792,0.732433117236,Baseline (VM)
rand,1G,1024.0,3,read,179.275461,1367.763224,0.929792,0.719810654068,Baseline (VM)
mix,100M,100.0,1,read,89.500118,682.831717,1.613824,0.894006854005,Baseline (VM)
mix,100M,100.0,1,write,89.985036,686.531347,0.946176,0.5422163661520001,Baseline (VM)
mix,100M,100.0,2,read,87.888094,670.532947,1.10592,0.876042134954,Baseline (VM)
mix,100M,100.0,2,write,88.438541,674.732527,0.684032,0.5831909756970001,Baseline (VM)
mix,100M,100.0,3,read,102.592902,782.721728,1.073152,0.774982582397,Baseline (VM)
mix,100M,100.0,3,write,103.23509,787.621238,0.659456,0.478680945157,Baseline (VM)
mix,500M,500.0,1,read,95.764733,730.626937,1.056768,0.8064167684410001,Baseline (VM)
mix,500M,500.0,1,write,96.210334,734.026597,0.67584,0.5333508462059999,Baseline (VM)
mix,500M,500.0,2,read,101.09883,771.322868,1.056768,0.774230313845,Baseline (VM)
mix,500M,500.0,2,write,101.714807,776.022398,0.667648,0.496209571962,Baseline (VM)
mix,500M,500.0,3,read,94.925957,724.227577,1.073152,0.817395005937,Baseline (VM)
mix,500M,500.0,3,write,95.26671,726.827317,0.67584,0.536957135782,Baseline (VM)
mix,1G,1024.0,1,read,52.562466,401.019796,11.337728,1.473687497881,Baseline (VM)
mix,1G,1024.0,1,write,53.715669,409.818036,7.110656,0.973435033423,Baseline (VM)
mix,1G,1024.0,2,read,91.190778,695.730427,1.859584,0.868306193878,Baseline (VM)
mix,1G,1024.0,2,write,91.636378,699.130087,0.692224,0.5411999509440001,Baseline (VM)
mix,1G,1024.0,3,read,86.289175,658.334167,1.089536,0.903595694563,Baseline (VM)
mix,1G,1024.0,3,write,86.669246,661.233877,0.67584,0.588770056253,Baseline (VM)
seq,100M,100.0,1,read,361.539065,2758.324168,1.122304,0.360790214892,ML (Red Neuronal)
seq,100M,100.0,2,read,365.431514,2788.021198,1.122304,0.35683901983300004,ML (Red Neuronal)
seq,100M,100.0,3,read,365.352879,2787.421258,1.138688,0.35707935559799997,ML (Red Neuronal)
seq,500M,500.0,1,read,438.103671,3342.465753,0.577536,0.29712326157700003,ML (Red Neuronal)
seq,500M,500.0,2,read,438.850706,3348.165183,0.569344,0.29732263419399996,ML (Red Neuronal)
seq,500M,500.0,3,read,441.393249,3367.563244,0.577536,0.295592023546,ML (Red Neuronal)
seq,1G,1024.0,1,read,409.336243,3122.987701,0.987136,0.315621406749,ML (Red Neuronal)
seq,1G,1024.0,2,read,413.648081,3155.884412,0.978944,0.31546646964700004,ML (Red Neuronal)
seq,1G,1024.0,3,read,406.138406,3098.590141,1.00352,0.321239785182,ML (Red Neuronal)
rand,100M,100.0,1,read,189.668431,1447.055294,1.646592,0.684870572623,ML (Red Neuronal)
rand,100M,100.0,2,read,189.445631,1445.355464,1.646592,0.685597464476,ML (Red Neuronal)
rand,100M,100.0,3,read,188.449583,1437.756224,1.646592,0.689468535712,ML (Red Neuronal)
rand,500M,500.0,1,read,214.774579,1638.6,0.9216,0.6050326223000001,ML (Red Neuronal)
rand,500M,500.0,2,read,215.43461,1643.635636,0.913408,0.603123275824,ML (Red Neuronal)
rand,500M,500.0,3,read,217.439811,1658.934107,0.913408,0.597462685251,ML (Red Neuronal)
rand,1G,1024.0,1,read,196.470388,1498.950105,1.466368,0.6607555380560001,ML (Red Neuronal)
rand,1G,1024.0,2,read,197.571282,1507.349265,1.466368,0.657387310249,ML (Red Neuronal)
rand,1G,1024.0,3,read,198.239683,1512.448755,1.449984,0.6553252212089999,ML (Red Neuronal)
mix,100M,100.0,1,read,106.904739,815.618438,1.777664,0.7959952218949999,ML (Red Neuronal)
mix,100M,100.0,1,write,107.743516,822.017798,1.028096,0.415255178567,ML (Red Neuronal)
mix,100M,100.0,2,read,120.272747,917.608239,1.056768,0.696561633867,ML (Red Neuronal)
mix,100M,100.0,2,write,120.246535,917.408259,0.63488,0.383819822016,ML (Red Neuronal)
mix,100M,100.0,3,read,122.317265,933.206679,1.036288,0.683593063752,ML (Red Neuronal)
mix,100M,100.0,3,write,122.264842,932.806719,0.626688,0.378438587094,ML (Red Neuronal)
mix,500M,500.0,1,read,115.896965,884.223674,1.04448,0.744799220798,ML (Red Neuronal)
mix,500M,500.0,1,write,115.871778,884.031514,0.626688,0.37695568807700003,ML (Red Neuronal)
mix,500M,500.0,2,read,2.332848,17.79822,191.889408,34.028366039325995,ML (Red Neuronal)
mix,500M,500.0,2,write,2.411483,18.39816,265.289728,21.387590375,ML (Red Neuronal)
mix,500M,500.0,3,read,84.716469,646.335366,1.089536,0.906966327816,ML (Red Neuronal)
mix,500M,500.0,3,write,85.03101,648.735126,0.643072,0.628965336621,ML (Red Neuronal)
mix,1G,1024.0,1,read,67.239505,512.996713,10.944512,1.3004841077459999,ML (Red Neuronal)
mix,1G,1024.0,1,write,67.905242,518.075889,10.15808,0.630423060361,ML (Red Neuronal)
mix,1G,1024.0,2,read,96.60351,737.026297,3.784704,0.905603897707,ML (Red Neuronal)
mix,1G,1024.0,2,write,97.271911,742.125787,1.744896,0.436782518324,ML (Red Neuronal)
mix,1G,1024.0,3,read,60.916173,464.753525,11.206656,1.216673814974,ML (Red Neuronal)
mix,1G,1024.0,3,write,62.056386,473.452655,10.420224,0.904941239071,ML (Red Neuronal)
